open,high,low,last,close,volume,date,symbol,exchange
191.51,191.51,191.51,,191.51,,2018-06-09T00:00:00+0000,AAPL,IEXG
191.39,191.995,191.385,,191.51,,2018-06-08T23:00:00+0000,AAPL,IEXG
191.135,191.535,191.13,,191.38,,2018-06-08T22:00:00+0000,AAPL,IEXG
191.08,191.405,190.895,,191.14,,2018-06-08T21:00:00+0000,AAPL,IEXG
190.535,191.995,190.535,,191.51,,2018-06-08T20:00:00+0000,AAPL,IEXG
190.44,190.94,190.17,,190.525,,2018-06-08T19:00:00+0000,AAPL,IEXG
190.8,190.8,189.875,,190.455,,2018-06-08T18:00:00+0000,AAPL,IEXG
193.5,193.5,193.5,,193.5,,2018-06-08T00:00:00+0000,AAPL,IEXG
193.385,193.91,193.1,,193.5,,2018-06-07T23:00:00+0000,AAPL,IEXG
192.6,193.49,192.45,,193.35,,2018-06-07T22:00:00+0000,AAPL,IEXG
193.2,193.4,192.565,,192.58,,2018-06-07T21:00:00+0000,AAPL,IEXG
193.32,193.91,192.45,,193.5,,2018-06-07T20:00:00+0000,AAPL,IEXG
193.3,193.43,192.95,,193.33,,2018-06-07T19:00:00+0000,AAPL,IEXG
193.78,193.78,192.385,,193.25,,2018-06-07T18:00:00+0000,AAPL,IEXG
194.0,194.0,194.0,,194.0,,2018-06-07T00:00:00+0000,AAPL,IEXG
193.44,194.0,193.25,,194.0,,2018-06-06T23:00:00+0000,AAPL,IEXG
192.72,193.52,192.72,,193.43,,2018-06-06T22:00:00+0000,AAPL,IEXG
193.0,193.08,192.51,,192.69,,2018-06-06T21:00:00+0000,AAPL,IEXG
193.065,194.0,192.51,,194.0,,2018-06-06T20:00:00+0000,AAPL,IEXG
192.44,193.26,192.43,,193.07,,2018-06-06T19:00:00+0000,AAPL,IEXG
192.98,193.04,191.95,,192.405,,2018-06-06T18:00:00+0000,AAPL,IEXG
190.665,190.665,190.665,,190.665,,2018-06-14T00:00:00+0000,AAPL,IEXG
